,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean
0,C0000833,Abscess,0.8490415264931988,0.02376058388327325,0.8914240506329115,0.036300710018247195,0.8692542083904236,0.02233430122068258,79.2
1,C0003962,Ascites,0.8814253579889865,0.07897178993254937,0.8983739837398375,0.028896295713414025,0.8875524475524476,0.04008546001913913,41.4
2,C0006267,Bronchiectasis,0.8225,0.09043106644167026,0.7985294117647058,0.08670237042931572,0.807070707070707,0.0739025840508636,16.8
3,C0006826,Malignant neoplastic disease,0.8405506748153808,0.07852012199898302,0.5545454545454545,0.07820295697311479,0.6647216226163595,0.06806885471795533,22.0
4,C0020295,Hydronephrosis,0.9332142857142858,0.0575289535700608,0.9112903225806452,0.04104692151512567,0.9199879452619909,0.02454834714036118,31.4
5,C0025062,Mediastinal Emphysema,0.8954901960784314,0.024879907205660193,0.852584670231729,0.08281310733226863,0.8709107235196288,0.04391114881819973,33.8
6,C0031039,Pericardial effusion,0.9252958571807316,0.04758049933010396,0.9768115942028986,0.014779766706066044,0.9499472086773825,0.03133365208210499,69.0
7,C0032285,Pneumonia,0.7926666666666666,0.0938756729686059,0.7793103448275863,0.06012274404883686,0.781116568335071,0.05070962598471944,29.0
8,C0032326,Pneumothorax,0.8669611869611871,0.027968423255865127,0.9066365007541478,0.00751352284732844,0.8860896054227654,0.014542018605040938,51.4
9,C0497156,Lymphadenopathy,0.8135788469233848,0.03340187778060366,0.8200000000000001,0.03577708763999662,0.816695928416371,0.03370776641365277,50.0
10,C5203670,COVID19 (disease),0.8806264323911381,0.05417264363901074,0.7948051948051947,0.06222934312057632,0.8328072242213806,0.03342607150852607,21.4
